"01000000","arts, culture and entertainment","Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions "
"01001000","arts, culture and entertainment/archaeology","Probing the past through ruins and artefacts "
"01002000","arts, culture and entertainment/architecture","Designing of buildings, monuments and the spaces around them "
"01003000","arts, culture and entertainment/bullfighting","Classical contest pitting man against the bull "
"01004000","arts, culture and entertainment/festive event (including carnival)","Parades, parties, celebrations and the like not necessarily tied to a fixed occasion or date "
"01005000","arts, culture and entertainment/cinema","Cinema as art and entertainment "
"01005001","arts, culture and entertainment/cinema/film festival","National and international motion pictures festivals, selections, festival juries, nominations, awards etc. "
"01006000","arts, culture and entertainment/dance","The expression of emotion or message through movement "
"01007000","arts, culture and entertainment/fashion","The design of clothing and accessories "
"01007001","arts, culture and entertainment/fashion/jewelry","Accessories to clothing "
"01008000","arts, culture and entertainment/language","The means by which people communicate with each other "
"01009000","arts, culture and entertainment/library and museum","Edifices used to house collections of books, music, art, or objects from the past and present for public use and display "
"01010000","arts, culture and entertainment/literature","The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public "
"01010001","arts, culture and entertainment/literature/fiction","Structured stories that are usually not based on fact but are the creation of the authors imagination "
"01010002","arts, culture and entertainment/literature/poetry","The art, structure, forms of poetic expression "
"01011000","arts, culture and entertainment/music","Expressing emotion or message through instruments or voice using different sounds, tones, harmonies and the like "
"01011001","arts, culture and entertainment/music/classical music","Music that follows classic structures of rhythm and harmony "
"01011002","arts, culture and entertainment/music/folk music","Music that developed from folk cultures, often based on story-telling "
"01011003","arts, culture and entertainment/music/jazz music","A music of diverse harmonics, often improvised "
"01011004","arts, culture and entertainment/music/popular music","The latest fad in music, generally aimed at the younger generation "
"01011005","arts, culture and entertainment/music/country music","Similar to folk but is unique to the United States and is less about story telling than about loves sought and lost "
"01011006","arts, culture and entertainment/music/rock and roll music","Popular dance music developed in the 1950s "
"01011007","arts, culture and entertainment/music/hip-hop","A contemporary urban music originating in the 1970s. "
"01012000","arts, culture and entertainment/painting","Using the mediums of oils, watercolour, pastel, pencils, chalk, crayon etc on various grounds to express emotion or message "
"01013000","arts, culture and entertainment/photography","Mechanical means of creating images of objects by use of light and light sensitive materials with chemicals or by digitals means "
"01014000","arts, culture and entertainment/radio","Radio as art and entertainment "
"01015000","arts, culture and entertainment/sculpture","Representation of forms in clays, stone, woods, metals or other materials "
"01015001","arts, culture and entertainment/sculpture/plastic art","Forms of hand created art including installations "
"01016000","arts, culture and entertainment/television","Television as art and entertainment "
"01016001","arts, culture and entertainment/television/soap opera","Episodic TV drama or saga, normally aired during daytime "
"01017000","arts, culture and entertainment/theatre","Telling of a story or idea through dialogue, music and physical expression in a space or building designed for it "
"01017001","arts, culture and entertainment/theatre/music theatre","Opera, operetta, music revues etc "
"01018000","arts, culture and entertainment/monument and heritage site","Areas containing commemorative objects for historical people or events "
"01018001","arts, culture and entertainment/monument and heritage site/institution-DEPRECATED","NA"
"01019000","arts, culture and entertainment/customs and tradition","A particular way of behaving, or observances that have developed over time by a group of people "
"01020000","arts, culture and entertainment/arts (general)","The collective expression of message or emotion through music, literature, painting, theatre or other means "
"01021000","arts, culture and entertainment/entertainment (general)","The collective use of television, radio, theatre, music and the like for the amusement of people "
"01021001","arts, culture and entertainment/entertainment (general)/entertainment award","Awards for achievement in the entertainment industry, such as the Oscars for film, the Booker Prize for Literature, the Grammys for music, or induction into halls of fame. "
"01022000","arts, culture and entertainment/culture (general)","The ideas, customs, arts, skills of a particular group "
"01022001","arts, culture and entertainment/culture (general)/cultural development","The history of the development of art and culture such as the rise of cave paintings, pre-Colombian art, Chinese paper-making, anything non-political "
"01023000","arts, culture and entertainment/nightclub","A commercial establishment providing music, or other entertainment along with food and drink to selected clientele "
"01024000","arts, culture and entertainment/cartoon","Still images such as editorial cartoons and comic strips "
"01025000","arts, culture and entertainment/animation","Animation, including full-length and short cinema, artists and merchandising of goods featuring animation characters. "
"01026000","arts, culture and entertainment/mass media","Television, radio, magazines, newspapers etc "
"01026001","arts, culture and entertainment/mass media/periodicals","Written material that is usually published weekly, bi-weekly, monthly or annually for a long time "
"01026002","arts, culture and entertainment/mass media/news media","Television, wire services, radio that collect facts about incidents, developing and presenting them to audiences as a whole story "
"01026003","arts, culture and entertainment/mass media/newspapers","Daily or weekly publications that present the day to day history of the world, as well as features, comics etc "
"01026004","arts, culture and entertainment/mass media/reviews","A critical look at someone else's work, whether film, theatre or writing "
"01027000","arts, culture and entertainment/internet","Internet as art and entertainment "
"01028000","arts, culture and entertainment/history","Issues connected with the past; discoveries, repair, conservation or display of artifacts; anniversaries of historic events "
"02000000","crime, law and justice","Establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules and the punishment of offenders. Organizations and bodies involved in these activities. "
"02001000","crime, law and justice/crime","Violation of established laws by individuals, companies or organizations "
"02001001","crime, law and justice/crime/homicide","Killing of one person by another "
"02001002","crime, law and justice/crime/computer crime","Theft or destructive behaviour using a computer "
"02001003","crime, law and justice/crime/theft","Unlawful taking "
"02001004","crime, law and justice/crime/drug trafficking","Dealing in illicit often harmful substances "
"02001005","crime, law and justice/crime/sexual assault","Sexual battery of one sex against another "
"02001006","crime, law and justice/crime/assault (general)","Battery, slugfests, brawls and threatening behaviour "
"02001007","crime, law and justice/crime/kidnapping","To seize and detain or carry away a person against that person's will by unlawful threat, force or fraud "
"02001008","crime, law and justice/crime/arson","Intentional setting of fires with criminal intent "
"02001009","crime, law and justice/crime/gang activity","Criminal activities by groups of individuals, usually in urban areas, who are allied by common territories, languages, ethnic backgrounds but generally are loosely organized. "
"02001010","crime, law and justice/crime/terrorism","Violence against people to create fear in order to achieve political or ideological objectives "
"02002000","crime, law and justice/judiciary (system of justice)","The system set up to deal with crime and those who do them "
"02002001","crime, law and justice/judiciary (system of justice)/lawyer","Anyone legally able to represent another person or entity in a legal matter, such as a lawyer, solicitor, barrister, procurator, notary. "
"02002002","crime, law and justice/judiciary (system of justice)/judge","Members of the bench that sit in judgement "
"02002003","crime, law and justice/judiciary (system of justice)/court administration","Court clerks, bailiffs, stenographers etc. "
"02003000","crime, law and justice/police","Agents of the legal system set up enforce the laws "
"02003001","crime, law and justice/police/law enforcement","Agencies involved in attempts to prevent disobedience to established laws, or to bring to justice those that disobey those laws "
"02003002","crime, law and justice/police/investigation","Process of inquiry of a possible crime up to the point of arrest "
"02003003","crime, law and justice/police/arrest","Detention of a suspect of a crime "
"02004000","crime, law and justice/punishment","The retribution handed out to those who break the laws "
"02004001","crime, law and justice/punishment/fine","Monetary punishment "
"02004002","crime, law and justice/punishment/execution","The carrying out of executions by a government or state, not by extralegal groups/organisations "
"02005000","crime, law and justice/prison","Also know as jails, lockups, calaboose, etc. for keeping law breakers from society "
"02006000","crime, law and justice/laws","The codification of rules of behaviour "
"02006001","crime, law and justice/laws/criminal","The criminal code system "
"02006002","crime, law and justice/laws/civil","The civil code system "
"02007000","crime, law and justice/justice and rights","The equitable administration of laws and regulations "
"02007001","crime, law and justice/justice and rights/civil rights","Rights of individuals under civil law "
"02008000","crime, law and justice/trials","The process by which guilt or innocence, or right or wrong is determined and adjudged "
"02008001","crime, law and justice/trials/litigation","Taking disputed issues to court for settlement by judge and/or jury "
"02008002","crime, law and justice/trials/arbitration","Resolution of disputed issues by a neutral panel "
"02008003","crime, law and justice/trials/court preliminary","Pre-trial events including pleas, bail, motions, discovery, depositions. "
"02009000","crime, law and justice/prosecution","Stories regarding activities and investigations by public prosecutors. "
"02009001","crime, law and justice/prosecution/defendant","The person on trial "
"02009002","crime, law and justice/prosecution/witness","A person who testifies "
"02010000","crime, law and justice/organized crime","Crimes committed by gangs or criminal groups. "
"02011000","crime, law and justice/international law","The system of laws embraced by all nations, such as the Geneva Convention, the International Law of the Seas, etc. "
"02011001","crime, law and justice/international law/international court or tribunal","The activities of international tribunals such as European court for human rights, Hague tribunal, International Court of Justice etc "
"02011002","crime, law and justice/international law/extradition","Legal transfer of criminals or suspects between countries "
"02012000","crime, law and justice/corporate crime","Misdeeds of corporations and corporate officers "
"02012001","crime, law and justice/corporate crime/fraud","Intentional deception that causes others to give up rights or property "
"02012002","crime, law and justice/corporate crime/embezzlement","The intentional theft of money left in one's care "
"02012003","crime, law and justice/corporate crime/restraint of trade","Interference in free competition in business and trade "
"02012004","crime, law and justice/corporate crime/breach of contract","Rupture of legal agreements between companies, and with customers "
"02012005","crime, law and justice/corporate crime/anti-trust crime","Violations of laws against monopolies "
"02012006","crime, law and justice/corporate crime/corruption","General business misbehaviour "
"02012007","crime, law and justice/corporate crime/bribery","Payments or benefits to influence the outcome of a legal case "
"02013000","crime, law and justice/war crime","Crimes committed during a war or armed conflict, usually against civilians or POW's, including the prosecution of such crimes "
"02014000","crime, law and justice/inquest","Formal investigation of sudden or unexpected death and the hearing to decide cause of death. "
"02015000","crime, law and justice/inquiry","Formal hearing involving a disaster, political event etc. Eg rail crash, drug prescription scandal. "
"02016000","crime, law and justice/tribunal","Formal hearing usually involving employment issues, property etc. "
"03000000","disaster and accident","Man made and natural events resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property. "
"03001000","disaster and accident/drought","A severe lack of water over a period of time "
"03002000","disaster and accident/earthquake","The shifting of the tectonic plates of the Earth, creating in some cases damage to structures "
"03003000","disaster and accident/famine","Severe lack of food for a large population "
"03004000","disaster and accident/fire","Ignition and consumption of materials through a combination of high heat and oxygen "
"03005000","disaster and accident/flood","Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted "
"03006000","disaster and accident/industrial accident","A mishap in a factory, a shop or an office, potentially harmful to humans "
"03006001","disaster and accident/industrial accident/structural failures","When a building, bridge or other structures collapse because of unexpected forces or poor design "
"03007000","disaster and accident/meteorological disaster","A weather-related disaster "
"03007001","disaster and accident/meteorological disaster/windstorms","A storm of high velocity but non-hurricane force movements of air with little or no rain or hail. Often highly destructive "
"03008000","disaster and accident/nuclear accident","A mishap involving radioactive materials "
"03009000","disaster and accident/pollution","Emissions of unwanted materials in areas where it can be harmful "
"03010000","disaster and accident/transport accident","An accident involving one or more vehicles "
"03010001","disaster and accident/transport accident/road accident","Accidents on roads. "
"03010002","disaster and accident/transport accident/railway accident","Accidents involving trains. "
"03010003","disaster and accident/transport accident/air and space accident","Accidents involving craft in air or space. "
"03010004","disaster and accident/transport accident/maritime accident","Accidents involving marine vessels. "
"03011000","disaster and accident/volcanic eruption","A rupture in the skin of the Earth allowing molten material to escape to the surface "
"03012000","disaster and accident/relief and aid organisation","Organizations set up to provide help to those in need because of lack of food, water or shelter "
"03013000","disaster and accident/accident (general)","Any unplanned event that causes unwanted consequences "
"03014000","disaster and accident/emergency incident","A sudden, unexpected event that requires immediate action "
"03014001","disaster and accident/emergency incident/explosion","Sudden eruptions, usually of chemical substances "
"03015000","disaster and accident/disaster (general)","Serious or sudden misfortune "
"03015001","disaster and accident/disaster (general)/natural disasters","Destructive incidents caused by the very nature of nature -- hurricanes, earthquakes, floods etc "
"03015002","disaster and accident/disaster (general)/avalanche/landslide","Sudden dislodging of massive amounts of snow or soil. "
"03016000","disaster and accident/emergency planning","Planning for actions to deal with sudden, unplanned events "
"03017000","disaster and accident/rescue","An operation to save people, animals or property from harm or danger. "
"04000000","economy, business and finance","All matters concerning the planning, production and exchange of wealth. "
"04001000","economy, business and finance/agriculture","The process of producing natural materials for consumption "
"04001001","economy, business and finance/agriculture/arable farming","Production of food in the ground "
"04001002","economy, business and finance/agriculture/fishing industry","Raising or gathering of fish "
"04001003","economy, business and finance/agriculture/forestry and timber","Production and collection and preparation of wood products for future use "
"04001004","economy, business and finance/agriculture/livestock farming","Raising of animals for food "
"04001005","economy, business and finance/agriculture/viniculture","Production of wines from the vines to the finish products "
"04001006","economy, business and finance/agriculture/aquaculture","Growing plants or animals in water for human consumption "
"04002000","economy, business and finance/chemicals","Natural or manmade materials used to produce other materials "
"04002001","economy, business and finance/chemicals/biotechnology","The business of using engineering technology to study and solved problems of living organisms "
"04002002","economy, business and finance/chemicals/fertiliser","Natural or manmade materials used to encourage the growth of plants "
"04002003","economy, business and finance/chemicals/health and beauty product","Compilation of chemicals and other substances for use in enhancing ones looks or smell "
"04002004","economy, business and finance/chemicals/inorganic chemical","The branch of chemistry dealing with minerals and metals "
"04002005","economy, business and finance/chemicals/organic chemical","The branch of chemistry dealing with human, animal or carbon-based substances "
"04002006","economy, business and finance/chemicals/pharmaceutical","The production of medicines from various chemicals and natural substances "
"04002007","economy, business and finance/chemicals/synthetic and plastic","Chemicals used to produce plastics and other artificial substances to be used in manufacturing "
"04003000","economy, business and finance/computing and information technology","Anything to do with the computing and/or transmission of information from one point to another. "
"04003001","economy, business and finance/computing and information technology/hardware","The physical devices used to provide computer services, such as monitors, hard drives, keyboards etc. but can also be used for equipment such as routers, servers and other network devices. "
"04003002","economy, business and finance/computing and information technology/networking","The interconnectivity between hardware that provides the medium for the transmission of data. "
"04003003","economy, business and finance/computing and information technology/satellite technology","Hardware and software that enables groundbased devices to send signals to each other via an orbiting satellite. "
"04003004","economy, business and finance/computing and information technology/semiconductors and active components","The basic components that together create working electronic devices such as computers "
"04003005","economy, business and finance/computing and information technology/software","Programming sets that, when installed on hardware, perform specified functions. "
"04003006","economy, business and finance/computing and information technology/telecommunication equipment","Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions "
"04003007","economy, business and finance/computing and information technology/telecommunication service","Services provided by commercial companies that facilitate connections between telephones, pagers, computers "
"04003008","economy, business and finance/computing and information technology/security","To encompass technical developments in hardware and software, basic research and related areas such as cyber security "
"04003009","economy, business and finance/computing and information technology/wireless technology","Transmission of information through means other than point-to-point wired hookups "
"04004000","economy, business and finance/construction and property","All items pertaining to the construction and sale of property "
"04004001","economy, business and finance/construction and property/heavy construction","Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums "
"04004002","economy, business and finance/construction and property/house building","Construction of residences, for private use "
